"";"ACRIM";"BCRIM";"CCRIM";"DCRIM";"FEMALE";"SCHOOL"
"615";NA;NA;1;1;0;"GY"
"616";NA;5;8;1;0;"RE"
"617";NA;NA;0;2;0;"RE"
"618";NA;NA;10;6;0;"RE"
"619";0;0;0;0;0;"RE"
"620";0;0;0;0;0;"RE"
"621";0;1;1;0;1;"RE"
"622";1;1;1;1;1;"RE"
"623";NA;5;7;2;1;"RE"
"624";1;0;0;0;1;"RE"
"625";0;0;0;0;0;"RE"
"626";1;1;1;0;1;"RE"
"627";NA;0;0;0;0;"RE"
"628";NA;NA;2;0;0;"RE"
"629";1;NA;NA;10;0;"RE"
"630";NA;NA;3;5;0;"RE"
"631";2;5;4;4;0;"RE"
"632";NA;1;0;0;1;"GY"
"633";0;0;1;0;0;"GY"
"634";0;0;0;0;0;"GY"
"635";0;0;0;0;1;"GY"
"636";0;2;0;0;1;"GY"
"637";NA;0;0;0;0;"GY"
"638";0;0;0;0;0;"GY"
"639";NA;NA;0;2;0;"GY"
"640";0;0;0;0;0;"GY"
"641";NA;NA;2;2;0;"GY"
"642";7;5;9;7;0;"GY"
"643";0;0;0;0;0;"GY"
"644";0;0;0;0;0;"GY"
"645";0;0;0;1;1;"GY"
"646";0;0;0;0;1;"GY"
"647";1;0;0;1;1;"GY"
"648";NA;0;0;0;1;"GY"
"649";0;0;0;0;1;"GY"
"650";0;1;1;0;1;"GY"
"651";0;0;0;0;1;"GY"
"652";0;0;0;0;1;"GY"
"653";0;0;0;0;1;"GY"
"654";1;0;0;0;1;"GY"
"655";0;0;0;0;1;"GY"
"656";0;0;0;0;1;"GY"
"657";0;NA;NA;0;1;"GY"
"658";NA;NA;0;1;1;"GY"
"659";0;0;0;0;1;"GY"
"660";0;0;0;0;1;"GY"
"661";0;0;0;0;1;"GY"
"662";0;0;0;0;1;"GY"
"663";NA;0;NA;0;1;"GY"
"664";NA;0;NA;0;1;"GY"
"665";NA;NA;7;1;1;"GY"
"666";NA;0;0;0;1;"GY"
"667";NA;0;1;0;1;"GY"
"668";0;0;0;0;1;"GY"
"669";0;0;0;0;1;"GY"
"670";0;0;0;0;1;"GY"
"671";0;NA;0;0;1;"GY"
"672";NA;NA;1;1;1;"GY"
"673";0;0;0;0;1;"GY"
"674";NA;NA;0;0;1;"GY"
"675";0;0;0;0;1;"GY"
"676";0;NA;0;0;1;"GY"
"677";0;0;0;0;1;"GY"
"678";0;0;0;0;1;"GY"
"679";0;0;0;0;1;"GY"
"680";1;2;0;0;1;"GY"
"681";NA;NA;2;0;0;"GY"
"682";0;0;0;0;0;"GY"
"683";0;0;0;0;0;"GY"
"684";0;0;0;0;0;"GY"
"685";0;0;0;0;0;"GY"
"686";0;0;0;0;0;"GY"
"687";NA;0;0;0;0;"GY"
"688";0;NA;0;0;0;"GY"
"689";0;0;0;0;1;"GY"
"690";NA;NA;0;0;1;"GY"
"691";0;0;4;2;1;"GY"
"692";NA;5;NA;0;0;"GY"
"693";NA;NA;0;0;0;"GY"
"694";0;0;0;0;0;"GY"
"695";2;1;0;1;1;"GY"
"696";0;0;0;0;1;"GY"
"697";0;0;1;1;1;"GY"
"698";1;1;2;4;0;"GY"
"699";NA;0;0;0;0;"GY"
"700";0;0;0;0;0;"GY"
"701";1;0;1;1;1;"GY"
"702";0;0;0;0;1;"GY"
"703";NA;0;0;1;0;"HA"
"704";NA;0;0;0;0;"HA"
"705";NA;NA;2;0;0;"HA"
"706";NA;0;2;2;1;"HA"
"707";NA;1;0;0;1;"HA"
"708";NA;NA;3;0;1;"HA"
"709";NA;NA;7;0;0;"HA"
